Date,Open,High,Low,Close,Volume,Adj Close
2014-09-04,91.35,91.76,90.21,91.43,3669400,87.7756
2014-09-05,91.45,91.9,90.9,91.82,6209500,88.15
2014-09-08,91.84,92.15,91.32,91.64,2452700,87.9772
2014-09-09,92.0,92.2,91.71,92.1,6715600,88.4188
2014-09-10,92.24,92.29,91.62,91.84,6920900,88.1692
2014-09-11,91.79,92.18,91.78,91.96,3415000,88.2844
2014-09-12,91.51,92.08,90.11,91.41,2474800,87.7564
2014-09-15,91.59,91.59,90.42,90.68,1687400,87.0555
2014-09-16,90.68,90.68,90.68,90.68,0,87.0555
2014-09-17,90.34,91.1,88.79,89.32,8786400,85.7499
2014-09-18,89.45,90.59,89.25,90.36,2282900,86.7483
2014-09-19,90.65,90.65,88.35,89.32,13207300,85.7499
2014-09-22,89.2,90.0,87.43,88.85,14538500,85.2987
2014-09-23,89.13,89.13,87.52,88.17,7138800,84.6459
2014-09-24,88.3,88.3,86.7,86.9,10722400,83.4266
2014-09-25,87.33,87.57,85.65,87.4,4983600,83.9066
2014-09-26,87.8,87.8,85.65,86.01,6101800,82.5722
2014-09-29,86.18,86.69,85.21,86.05,6549300,82.6106
2014-09-30,86.22,86.55,84.95,85.78,9349100,82.3514
2014-10-01,86.19,86.79,85.7,85.84,7897700,82.40899999999999
2014-10-02,85.65,85.65,83.73,83.98,19753600,80.6233
2014-10-03,84.0,84.5,83.91,84.19,8389900,80.8249
2014-10-06,83.8,85.0,83.65,84.38,17562000,81.0073
2014-10-07,84.7,84.7,83.16,83.33,6299200,79.9993
2014-10-08,83.98,84.39,82.92,83.85,6812800,80.4985
2014-10-09,84.17,84.3,83.56,83.92,19145100,80.5657
2014-10-10,84.36,84.41,83.2,83.41,8980900,80.0761
2014-10-13,83.5,83.86,82.95,83.3,3436100,79.9705
2014-10-14,83.98,83.99,83.02,83.53,4865700,80.1913
2014-10-15,83.15,83.7,81.01,82.52,6427000,79.2217
2014-10-16,82.0,82.49,81.11,81.36,11997100,78.1081
2014-10-17,82.0,83.37,81.49,82.0,17449100,78.7225
2014-10-20,82.0,82.4,81.91,82.25,6384200,78.9625
2014-10-21,82.38,83.25,82.38,82.96,7382800,79.6441
2014-10-22,83.35,83.69,82.71,82.96,18392300,79.6441
2014-10-23,83.7,83.7,82.8,83.22,6701600,79.8937
2014-10-24,83.7,85.84,83.17,85.72,10411000,82.2938
2014-10-27,85.89,85.99,85.04,85.8,4536400,82.3706
2014-10-28,85.99,87.39,85.64,86.96,8942900,83.7218
2014-10-29,86.7,87.39,85.6,86.22,5207400,83.0094
2014-10-30,86.0,86.89,85.81,86.7,5548200,83.4715
2014-10-31,86.99,87.6,85.71,86.39,6714800,83.17299999999999
2014-11-03,86.3,87.99,85.9,87.66,5862400,84.3958
2014-11-04,87.66,87.99,86.71,87.16,12786500,83.9144
2014-11-05,87.4,87.62,85.85,86.54,5052300,83.3175
2014-11-06,86.98,86.98,84.57,84.88,5786800,81.7193
2014-11-07,84.9,85.75,84.01,84.29,4505700,81.1512
2014-11-10,83.7,85.93,83.7,85.51,5388500,82.3258
2014-11-11,85.94,85.94,84.92,85.48,3401600,82.2969
2014-11-12,85.5,85.6,83.36,84.01,7774200,80.8817
2014-11-13,84.02,84.1,81.41,81.73,14508000,78.6866
2014-11-14,81.0,81.0,74.65,75.05,54172700,72.2553
2014-11-17,75.05,75.05,75.05,75.05,0,72.2553
2014-11-18,75.01,76.99,73.89,76.81,58798600,73.9498
2014-11-19,77.06,79.6,76.99,78.71,28814600,75.779
2014-11-20,79.0,80.49,77.71,80.29,16872800,77.3002
2014-11-21,80.98,82.6,79.8,81.0,14305700,77.9838
2014-11-24,81.4,81.47,80.18,80.85,8425300,77.8393
2014-11-25,80.84,81.34,80.4,80.92,19680100,77.9067
2014-11-26,81.01,81.19,79.75,80.47,10433900,77.4735
2014-11-27,80.47,80.87,79.7,79.93,1239300,76.9536
2014-11-28,79.94,80.38,78.0,78.8,5635800,75.8657
2014-12-01,78.7,78.7,75.1,76.71,21709500,73.8535
2014-12-02,77.14,78.5,77.14,77.51,17743400,74.6237
2014-12-03,78.0,79.44,77.66,79.15,8128600,76.2026
2014-12-04,79.01,79.18,77.45,77.75,6911300,74.8548
2014-12-05,78.1,78.54,77.25,78.01,3669300,75.1051
